4999   3.0   3.2
2.003409999999999913e-01 2.655854080000000228e-02
2.006826999999999916e-01 2.631983360000000535e-02
2.010249000000000064e-01 2.648897280000000326e-02
2.013677000000000106e-01 2.623619840000000064e-02
2.017111000000000043e-01 2.628565760000000154e-02
2.020550000000000124e-01 2.615969279999999855e-02
2.023996000000000128e-01 2.617574400000000079e-02
2.027446999999999999e-01 2.610584320000000277e-02
2.030904000000000043e-01 2.622431999999999888e-02
2.034368000000000010e-01 2.603832320000000131e-02
2.037837000000000121e-01 2.607137280000000265e-02
2.041312000000000126e-01 2.587833600000000178e-02
2.044791999999999998e-01 2.609070080000000166e-02
2.048279000000000072e-01 2.560988160000000208e-02
2.051772000000000040e-01 2.609408000000000213e-02
2.055270999999999904e-01 2.554796800000000423e-02
2.058775999999999939e-01 2.599596800000000124e-02
2.062286000000000119e-01 2.558472960000000157e-02
2.065802999999999945e-01 2.572469760000000230e-02
2.069325999999999943e-01 2.552806400000000309e-02
2.072854000000000085e-01 2.561056000000000096e-02
2.076388999999999874e-01 2.548079360000000265e-02
2.079930000000000112e-01 2.553642240000000493e-02
2.083475999999999939e-01 2.534864640000000086e-02
2.087028999999999967e-01 2.551813119999999865e-02
2.090587999999999891e-01 2.523815680000000491e-02
2.094152999999999987e-01 2.544180480000000216e-02
2.097723999999999978e-01 2.527874560000000284e-02
2.101300999999999863e-01 2.528235520000000555e-02
2.104883999999999922e-01 2.514081280000000224e-02
2.108473999999999904e-01 2.514808320000000430e-02
2.112069000000000030e-01 2.509496320000000405e-02
2.115671000000000079e-01 2.519230720000000326e-02
2.119277999999999995e-01 2.499413760000000068e-02
2.122892000000000112e-01 2.508734720000000210e-02
2.126512000000000124e-01 2.497872640000000158e-02
2.130139000000000060e-01 2.489454080000000347e-02
2.133770999999999862e-01 2.487619840000000054e-02
2.137409000000000114e-01 2.478799360000000229e-02
2.141054000000000013e-01 2.492627200000000279e-02
2.144705000000000084e-01 2.477777920000000245e-02
2.148362000000000049e-01 2.488826880000000186e-02
2.152025999999999939e-01 2.472990720000000156e-02
2.155696000000000001e-01 2.487720960000000189e-02
2.159371999999999958e-01 2.483865600000000409e-02
2.163054000000000088e-01 2.492976640000000091e-02
2.166742000000000112e-01 2.476437760000000168e-02
2.170437000000000061e-01 2.481250560000000313e-02
2.174137999999999904e-01 2.462563840000000018e-02
2.177845999999999949e-01 2.466369280000000122e-02
2.181559000000000137e-01 2.446429439999999941e-02
2.185278999999999971e-01 2.467134720000000239e-02
2.189006000000000007e-01 2.433763840000000359e-02
2.192738999999999938e-01 2.449504000000000264e-02
2.196478000000000042e-01 2.428700160000000011e-02
2.200223000000000040e-01 2.442091520000000057e-02
2.203974999999999962e-01 2.438376960000000412e-02
2.207733000000000056e-01 2.427068159999999988e-02
2.211498000000000075e-01 2.435340800000000000e-02
2.215268999999999988e-01 2.425342720000000368e-02
2.219047000000000103e-01 2.429251840000000093e-02
2.222831000000000112e-01 2.421274880000000296e-02
2.226621000000000017e-01 2.391965440000000040e-02
2.230418000000000123e-01 2.397982720000000137e-02
2.234221000000000124e-01 2.388817920000000164e-02
2.238031000000000048e-01 2.393361919999999893e-02
2.241847999999999896e-01 2.386526720000000171e-02
2.245670999999999917e-01 2.389834240000000484e-02
2.249500000000000111e-01 2.378270720000000282e-02
2.253335999999999950e-01 2.395235840000000185e-02
2.257177999999999962e-01 2.354074880000000397e-02
2.261026999999999898e-01 2.384455680000000313e-02
2.264883000000000035e-01 2.378283520000000137e-02
2.268745000000000067e-01 2.361824000000000215e-02
2.272614000000000023e-01 2.387988480000000080e-02
2.276488999999999874e-01 2.363732480000000150e-02
2.280370999999999926e-01 2.361155839999999964e-02
2.284259999999999902e-01 2.377766400000000044e-02
2.288155000000000050e-01 2.343811839999999924e-02
2.292057000000000122e-01 2.374268160000000266e-02
2.295965000000000089e-01 2.337459199999999959e-02
2.299879999999999980e-01 2.393605120000000253e-02
2.303802000000000072e-01 2.333105920000000041e-02
2.307731000000000088e-01 2.362394879999999905e-02
2.311665999999999999e-01 2.344802560000000188e-02
2.315608000000000111e-01 2.340451840000000450e-02
2.319556000000000118e-01 2.345936640000000073e-02
2.323512000000000077e-01 2.312565760000000192e-02
2.327473999999999932e-01 2.331256320000000062e-02
2.331442999999999988e-01 2.310581760000000179e-02
2.335418999999999967e-01 2.327485439999999947e-02
2.339401000000000119e-01 2.312165120000000268e-02
2.343389999999999918e-01 2.322703360000000217e-02
2.347385999999999917e-01 2.315509760000000056e-02
2.351389000000000118e-01 2.305386239999999975e-02
2.355398999999999965e-01 2.294323200000000090e-02
2.359414999999999984e-01 2.310531840000000156e-02
2.363438999999999957e-01 2.298039040000000172e-02
2.367469000000000101e-01 2.297502720000000123e-02
2.371505999999999892e-01 2.299943680000000185e-02
2.375549999999999884e-01 2.293226240000000027e-02
2.379601000000000077e-01 2.280748800000000076e-02
2.383657999999999888e-01 2.260065279999999913e-02
2.387722999999999929e-01 2.254389760000000131e-02
2.391794999999999893e-01 2.241612800000000044e-02
2.395873000000000030e-01 2.243532800000000091e-02
2.399959000000000120e-01 2.234814720000000143e-02
2.404051000000000105e-01 2.248016640000000121e-02
2.408151000000000042e-01 2.244499200000000388e-02
2.412256999999999874e-01 2.254142719999999850e-02
2.416370999999999936e-01 2.231336960000000411e-02
2.420490999999999893e-01 2.205712640000000516e-02
2.424619000000000080e-01 2.229725440000000433e-02
2.428752999999999884e-01 2.211905280000000043e-02
2.432894999999999919e-01 2.216945920000000167e-02
2.437043000000000126e-01 2.224551680000000364e-02
